,low_level_data,low_level_values
119,lowlevel_melbands_flatness_db_dmean,0.0277328118682
120,lowlevel_melbands_flatness_db_dmean2,0.0424245521426
121,lowlevel_melbands_flatness_db_dvar,0.00076511799125
122,lowlevel_melbands_flatness_db_dvar2,0.00180588080548
123,lowlevel_melbands_flatness_db_max,0.709166228771
124,lowlevel_melbands_flatness_db_mean,0.219118982553
125,lowlevel_melbands_flatness_db_median,0.18665355444
126,lowlevel_melbands_flatness_db_min,1.72573336954e-07
127,lowlevel_melbands_flatness_db_var,0.0135066239163
128,lowlevel_melbands_kurtosis_dmean,6.59601306915
129,lowlevel_melbands_kurtosis_dmean2,10.333322525
130,lowlevel_melbands_kurtosis_dvar,115.083526611
131,lowlevel_melbands_kurtosis_dvar2,276.52532959
132,lowlevel_melbands_kurtosis_max,200.180053711
133,lowlevel_melbands_kurtosis_mean,10.9813566208
134,lowlevel_melbands_kurtosis_median,5.71410512924
135,lowlevel_melbands_kurtosis_min,-1.85252034664
136,lowlevel_melbands_kurtosis_var,237.040222168
137,lowlevel_melbands_skewness_dmean,0.757478475571
138,lowlevel_melbands_skewness_dmean2,1.15908110142
139,lowlevel_melbands_skewness_dvar,0.636685371399
140,lowlevel_melbands_skewness_dvar2,1.47149682045
141,lowlevel_melbands_skewness_max,10.4446630478
142,lowlevel_melbands_skewness_mean,2.23729658127
143,lowlevel_melbands_skewness_median,2.01094198227
144,lowlevel_melbands_skewness_min,-2.40719985962
145,lowlevel_melbands_skewness_var,2.18306040764
146,lowlevel_melbands_spread_dmean,7.2725815773
147,lowlevel_melbands_spread_dmean2,11.2846908569
148,lowlevel_melbands_spread_dvar,118.792327881
149,lowlevel_melbands_spread_dvar2,276.609100342
150,lowlevel_melbands_spread_max,248.903457642
151,lowlevel_melbands_spread_mean,22.8541736603
152,lowlevel_melbands_spread_median,20.1140403748
153,lowlevel_melbands_spread_min,0.175563290715
154,lowlevel_melbands_spread_var,378.054748535
155,lowlevel_pitch_salience_dmean,0.0760402083397
156,lowlevel_pitch_salience_dmean2,0.124145798385
157,lowlevel_pitch_salience_dvar,0.0044777803123
158,lowlevel_pitch_salience_dvar2,0.0121702011675
159,lowlevel_pitch_salience_max,0.995829582214
160,lowlevel_pitch_salience_mean,0.548196196556
161,lowlevel_pitch_salience_median,0.559924244881
162,lowlevel_pitch_salience_min,0.0337910242379
163,lowlevel_pitch_salience_var,0.0128761138767
164,lowlevel_silence_rate_20dB_dmean,0
165,lowlevel_silence_rate_20dB_dmean2,0
166,lowlevel_silence_rate_20dB_dvar,0
167,lowlevel_silence_rate_20dB_dvar2,0
168,lowlevel_silence_rate_20dB_max,1
169,lowlevel_silence_rate_20dB_mean,1
170,lowlevel_silence_rate_20dB_median,1
171,lowlevel_silence_rate_20dB_min,1
172,lowlevel_silence_rate_20dB_var,0
173,lowlevel_silence_rate_30dB_dmean,0
174,lowlevel_silence_rate_30dB_dmean2,0
175,lowlevel_silence_rate_30dB_dvar,0
176,lowlevel_silence_rate_30dB_dvar2,0
177,lowlevel_silence_rate_30dB_max,1
178,lowlevel_silence_rate_30dB_mean,1
179,lowlevel_silence_rate_30dB_median,1
180,lowlevel_silence_rate_30dB_min,1
181,lowlevel_silence_rate_30dB_var,0
182,lowlevel_silence_rate_60dB_dmean,0.0203204378486
183,lowlevel_silence_rate_60dB_dmean2,0.0406461693347
184,lowlevel_silence_rate_60dB_dvar,0.0199066121131
